水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,余呉川（上流）,,,,,左岸,0,35.60775886,136.1779328,,,
,余呉川（上流）,,,,,右岸,0,35.60707749,136.1776437,,,
,余呉川（上流）,,,,,左岸,0.1,35.60801792,136.1769035,,,
,余呉川（上流）,,,,,右岸,0.1,35.607351,136.1765677,,,
,余呉川（上流）,,,,,左岸,0.2,35.60844962,136.176359,,,
,余呉川（上流）,,,,,右岸,0.2,35.60813728,136.1755631,,,
,余呉川（上流）,,,,,左岸,0.3,35.60910374,136.1760219,,,
,余呉川（上流）,,,,,右岸,0.3,35.60915498,136.1751411,,,
,余呉川（上流）,,,,,左岸,0.4,35.60998736,136.1761752,,,
,余呉川（上流）,,,,,右岸,0.4,35.61005512,136.1752961,,,
,余呉川（上流）,,,,,左岸,0.5,35.6110808,136.175955,,,
,余呉川（上流）,,,,,右岸,0.5,35.61068555,136.1752164,,,
,余呉川（上流）,,,,,左岸,0.6,35.61167038,136.1747605,,,
,余呉川（上流）,,,,,右岸,0.6,35.61095383,136.1746614,,,
,余呉川（上流）,,,,,左岸,0.7,35.61198936,136.1740789,,,
,余呉川（上流）,,,,,右岸,0.7,35.61148828,136.1734439,,,
,余呉川（上流）,,,,,左岸,0.8,35.61263966,136.1734266,,,
,余呉川（上流）,,,,,右岸,0.8,35.61223112,136.172699,,,
,余呉川（上流）,,,,,左岸,0.9,35.61339,136.1728418,,,
,余呉川（上流）,,,,,右岸,0.9,35.61299886,136.1721,,,
,余呉川（上流）,,,,,左岸,1,35.61402171,136.1724467,,,
,余呉川（上流）,,,,,右岸,1,35.61399578,136.1715642,,,
,余呉川（上流）,,,,,左岸,1.1,35.61502857,136.172324,,,
,余呉川（上流）,,,,,右岸,1.1,35.6147736,136.1714979,,,
,余呉川（上流）,,,,,左岸,1.2,35.61587867,136.1719423,,,
,余呉川（上流）,,,,,右岸,1.2,35.61561583,136.17112,,,
,余呉川（上流）,,,,,左岸,1.3,35.61670684,136.1715555,,,
,余呉川（上流）,,,,,右岸,1.3,35.61647167,136.1707207,,,
,余呉川（上流）,,,,,左岸,1.4,35.61762178,136.170971,,,
,余呉川（上流）,,,,,右岸,1.4,35.61715045,136.1703026,,,
,余呉川（上流）,,,,,左岸,1.5,35.61826493,136.1702534,,,
,余呉川（上流）,,,,,右岸,1.5,35.6178386,136.1695412,,,
,余呉川（上流）,,,,,左岸,1.6,35.6189658,136.1695536,,,
,余呉川（上流）,,,,,右岸,1.6,35.61853413,136.1688462,,,
,余呉川（上流）,,,,,左岸,1.7,35.61967802,136.1692415,,,
,余呉川（上流）,,,,,右岸,1.7,35.61949964,136.1683858,,,
